id,cuenta,monto,fecha,empresa
87,4207242913,7512.06,2024-01-14,LOEUTLYYZR Inc
88,3803860013,6160.39,2023-12-05,XUTYECLSK Inc
89,4232098733,9371.63,2023-08-10,RZFBJIKGBYIIO Inc
90,6000238264,2127.31,2023-05-01,TCPFXCMOAYFNMRA Inc
91,1488532155,6893.6,2024-01-14,SCSOHIYELCD Inc
92,9286862885,8761.57,2023-09-12,UWYSGGZLFCJD Inc
93,9776466665,7739.99,2023-04-07,PLYIDK Inc
94,4649298139,6942.47,2023-09-13,BFAWAJAUNBIIA Inc
95,6936730498,5659.82,2023-10-27,QBAXD Inc
96,4356267059,1965.91,2023-07-08,CVDWOV Inc
97,8157997324,7803.7,2023-09-26,DHCXLCEQUZMTON Inc
98,7576871057,3463.37,2023-09-01,EIXMAJR Inc
99,2355016848,1232.33,2023-08-10,DXRKSWDNMK Inc
100,6142496137,5623.12,2024-02-18,GZXBZOMLZTCDKX Inc
101,3079956150,5300.11,2024-02-18,VUANNCQIMZWE Inc
102,0024219108,7485.5,2023-05-17,IFFMWNYLYLLWWPX Inc
103,4037997773,7724.25,2024-03-08,IBOGKMUP Inc
104,0359817407,6168.57,2024-01-10,NTTKZPKD Inc
105,9819777028,4605.44,2023-04-17,VFYOYUTAGQPYVHI Inc
106,3651518491,7836.39,2023-04-08,YCZOIDYFLT Inc
107,4738371743,4839.67,2024-02-04,DUEHCUNVJC Inc
108,5444989937,5650.05,2023-05-22,BWTWZ Inc
109,3661363727,5613.5,2023-05-07,YWWKCRLB Inc
110,9520972206,4045.43,2024-01-28,TFARRSDANOY Inc
111,6684742801,5559.56,2023-10-19,DBGPLPPDZBFZV Inc
112,7677538093,1649.67,2024-01-06,GQKOLTOBSBJOQ Inc
113,0767742730,1156.4,2023-06-27,OZRRMCIBSISPIFS Inc
114,6535172191,3446.14,2023-05-12,UMCDJLMKAL Inc
115,1920966498,2794.64,2024-02-27,PEPGIIREFMDJPL Inc
116,2717173940,551.71,2023-05-21,EWBVSLLQZBTPZM Inc
117,3463173962,3424.59,2023-07-21,WSESLKKNK Inc
118,0639741401,9922.78,2023-08-10,YQBELVBM Inc
119,7762448659,5498.27,2024-02-05,KNIUVIXXMIEB Inc
120,8419000551,3119.21,2023-10-20,XXSQYDZHPQT Inc
121,0168199603,4143.54,2023-06-26,ICDJK Inc
122,3788795044,8324.57,2024-02-16,UZPYGR Inc
123,8388534997,6567.52,2023-06-21,JQRZFAJRBXKCUD Inc
124,9957837844,3687.57,2023-04-15,RNHRK Inc
125,4292114404,1188.21,2023-07-06,JFNKVOQ Inc
126,5890295294,2087.59,2023-10-21,ASXRPZ Inc
127,0687789318,4207.58,2023-10-06,SORCCD Inc
128,7507613146,1147.76,2023-09-21,FSTMGLV Inc
129,5217825269,4223.44,2023-06-19,PQAXJMOGBKABZ Inc
130,8723130976,5852.17,2023-06-12,HWGTZDQYIMFXVFE Inc
131,2053964991,3164.55,2023-12-03,LVFSMSUJ Inc
132,1687454169,2427.04,2023-11-20,EZXYROWRLY Inc
133,7241265536,7628.5,2023-07-06,SXRGXJ Inc
134,4356089613,9371.37,2023-12-29,UIDDLBJZ Inc
135,2677290093,4067.67,2023-06-13,SPLZWDT Inc
136,3133678485,7786.26,2023-07-21,ZWTDYBKEYPX Inc
137,5932037019,4590.08,2023-05-18,MZJHYC Inc
138,4827238467,2106.31,2023-12-17,HHPZZNKOUH Inc
139,4182051519,7811.6,2023-06-27,DOWBJKFUZYAXVUI Inc
140,4997239032,7565.77,2023-11-26,RUFQTKEFNJBADDK Inc
141,8475293877,6221.96,2023-06-15,ERJWLWRDDMTKJSF Inc
142,6456487936,6444.02,2023-09-18,OLQQDNYNYDHGFS Inc
143,9502703160,8407.44,2024-02-26,VJKVKAYSLLFDTN Inc
144,6632213761,1189.97,2023-12-10,UPVYWWOWA Inc
145,0346138358,7056.07,2024-01-24,WZXDZR Inc
146,6991315448,2879.72,2023-07-03,BYJYH Inc
147,8915688455,159.51,2024-03-01,JIBFPSNVQJMJ Inc
148,1518547056,8436.59,2023-09-29,AYQTHTESLJBG Inc
149,9224257719,1455.77,2023-06-30,IFVBLKAY Inc
150,2740434970,8912.74,2023-12-13,POVAFZZFBRSYM Inc
151,2502753688,5172.86,2023-11-10,BOFEMKBEUUOVLLE Inc
152,4653123488,1965.35,2023-12-12,JJHXQLPEIZXI Inc
153,1425034004,4520.63,2023-11-26,VOFPBW Inc
154,4889594538,8122.63,2023-12-08,SWHLLFNO Inc
155,0580752952,2031.7,2023-04-26,QRVZB Inc
156,9380347981,8106.59,2023-05-22,LLDTUFPQBAGW Inc
157,4115008124,2230.53,2023-07-02,SILFANVBPWJ Inc
158,4991764434,1014.88,2023-04-18,YRHSQUBLTOJVDA Inc
159,8878259334,9934.17,2023-04-21,HWPPRNDWX Inc
160,6605366961,2848.09,2024-01-31,GTPONVV Inc
161,6541260585,8741.1,2023-12-04,BYKIF Inc
162,0853434273,5634.75,2023-06-15,LPYHUQCES Inc
163,6441049746,3717.63,2023-08-04,JXWERDHPNG Inc
164,8317002827,952.83,2023-12-01,HPJBQDB Inc
165,2851611907,9775.91,2023-12-05,FEKKHUIQD Inc
166,4542866722,179.15,2024-02-06,FSUXMDN Inc
167,3995678334,911.78,2023-09-19,MNYDGVFHCZLXNPW Inc
168,5005046029,4210.81,2023-04-09,YGXYJXTYIYQ Inc
169,7385573874,9259.75,2023-09-05,BRRGQDBAOJKDN Inc
170,5352695973,9144.37,2024-02-18,KNWIJYYGMG Inc
171,6714629355,9252.54,2024-03-04,TVGXWDANFJRZ Inc
172,8169301258,3918.96,2023-08-27,QKNRJ Inc
173,0382863355,7240.69,2024-02-21,IWGWQEDYYGBM Inc
174,3432932216,9561.9,2023-04-07,YACORZBBIH Inc
175,7530856340,9784.02,2024-01-17,ZAFWWOSAEHOT Inc
176,7767952059,2156.23,2023-09-05,EZEVP Inc
177,4984073599,4330.12,2023-05-19,QTPSNTYDU Inc
178,2128298231,7122.49,2023-07-20,WYKJZ Inc
179,0870337852,1376.62,2024-02-08,BGXGEZ Inc
180,2623616233,9034.64,2023-07-25,NHXQJBRIYDZYO Inc
181,0815637667,4616.95,2024-01-31,UQUSLREGWRLXTC Inc
182,2519396953,9353.81,2024-02-08,DIOCQTWJS Inc
183,1266458786,8775.18,2024-01-14,HQPZGPWGUQ Inc
184,8536434015,1317.13,2023-09-10,QFOVXTCLUOYXBP Inc
185,7681063956,961.33,2023-06-01,TSMVUTEPPSPY Inc
186,4580187537,5895.18,2023-05-16,BXXXBSBUHTKE Inc
187,1699548091,9785.36,2023-06-21,FZXJUPKHER Inc
188,5723809167,7252.8,2023-07-24,VLLFRE Inc
189,7415782244,343.69,2023-11-28,HVGXLHKWXLIEHE Inc
190,0018306580,6738.96,2023-05-31,NRKODXFRPVXOZ Inc
191,4656698252,5138.83,2023-09-09,TZJKKFJSQJAW Inc
192,4123129070,9349.25,2024-03-17,TOEYMGP Inc
193,5140032921,9965.58,2024-01-26,EWILDN Inc
194,8284265661,1343.74,2023-10-25,BEBYKFTFXD Inc
195,6780976020,1449.68,2023-10-29,YEIQRD Inc
196,9020366500,918.87,2023-10-02,YCRQIDEAQHLHH Inc
197,0736815805,4769.48,2023-07-22,KSUZROIDWT Inc
198,7777789074,7458.6,2023-09-18,RRVRHRIFPMAQQ Inc
199,3769176830,3937.14,2023-06-03,BTJHFVHTMPVPX Inc
200,1000790045,6770.85,2023-07-11,CUKLBTOVV Inc
